bond_key,bond_name,issuer_code,issuer_name,start_date,end_date,outcome,proposed_date,approved_date,rejected_date,event_ids,titles,urls
603363,傲农转债,603363,傲农生物,2021-05-27,2021-05-27,rejected,,,2021-05-27,1210103494,福建傲农生物科技集团股份有限公司关于不向下修正“傲农转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-05-27/1210103494.PDF
601778,晶科转债,601778,晶科科技,2021-05-29,2021-06-19,approved,2021-05-29,2021-06-19,,1210120885; 1210292478,关于董事会提议向下修正“晶科转债”转股价格的公告; 关于向下修正“晶科转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-05-29/1210120885.PDF; https://static.cninfo.com.cn/finalpage/2021-06-19/1210292478.PDF
002542,,002542,中化岩土,2021-06-09,2021-06-26,approved,2021-06-09,2021-06-26,,1210199560; 1210340874,关于董事会提议向下修正可转换公司债券转股价格的公告; 关于向下修正可转换公司债券转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-06-09/1210199560.PDF; https://static.cninfo.com.cn/finalpage/2021-06-26/1210340874.PDF
300499,高澜转债,300499,高澜<em>股</em>份,2021-06-09,2021-06-09,approved,,2021-06-09,,1210198886,关于向下修正“高澜转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-06-09/1210198886.PDF
603298,杭叉转债,603298,杭叉集团,2021-06-12,2021-06-12,rejected,,,2021-06-12,1210224221,杭叉集团：关于不向下修正“杭叉转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-06-12/1210224221.PDF
603368,柳药转债,603368,柳药<em>股</em>份,2021-06-12,2021-06-12,rejected,,,2021-06-12,1210224230,广西柳州医药股份有限公司关于不向下修正“柳药转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-06-12/1210224230.PDF
601860,,601860,紫金银行,2021-07-21,2021-08-09,approved,2021-07-21,2021-08-09,,1210528051; 1210701053,江苏紫金农村商业银行股份有限公司董事会关于建议向下修正可转换公司债转股价格的公告; 江苏紫金农村商业银行股份有限公司关于向下修正紫银转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-07-21/1210528051.PDF; https://static.cninfo.com.cn/finalpage/2021-08-09/1210701053.PDF
002503,搜特转债,002503,搜于特,2021-07-31,2021-08-17,approved,2021-07-31,2021-08-17,,1210613282; 1210760456,关于董事会提议向下修正搜特转债转股价格的公告; 关于向下修正搜特转债转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-07-31/1210613282.PDF; https://static.cninfo.com.cn/finalpage/2021-08-17/1210760456.PDF
603208,江山转债,603208,江山欧派,2021-08-03,2021-08-03,rejected,,,2021-08-03,1210639275,江山欧派关于不向下修正“江山转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-08-03/1210639275.PDF
603898,好客转债,603898,好莱客,2021-08-11,2021-08-11,rejected,,,2021-08-11,1210716822,广州好莱客创意家居股份有限公司关于不向下修正“好客转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-08-11/1210716822.PDF
600926,,600926,杭州银行,2021-08-12,2021-08-28,approved,2021-08-12,2021-08-28,,1210726126; 1210902831,杭州银行董事会关于建议向下修正可转换公司债券转股价格的公告; 杭州银行关于向下修正“杭银转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-08-12/1210726126.PDF; https://static.cninfo.com.cn/finalpage/2021-08-28/1210902831.PDF
603557,起步转债,603557,ST起步,2021-08-14,2021-08-14,rejected,,,2021-08-14,1210747820,ST起步：关于不向下修正“起步转债”转股价格的公告,https://static.cninfo.com.cn/finalpage/2021-08-14/1210747820.PDF
